"c","p","wp","i","klag","x","wg","plag","xlag","a"
41.9,12.4,25.5,-0.2,182.8,45.6,2.7,12.7,44.9,-10
45,16.9,29.3,1.9,182.6,50.1,2.9,12.4,45.6,-9
49.2,18.4,34.1,5.2,184.5,57.2,2.9,16.9,50.1,-8
50.6,19.4,33.9,3,189.7,57.1,3.1,18.4,57.2,-7
52.6,20.1,35.4,5.1,192.7,61,3.2,19.4,57.1,-6
55.1,19.6,37.4,5.6,197.8,64,3.3,20.1,61,-5
56.2,19.8,37.9,4.2,203.4,64.4,3.6,19.6,64,-4
57.3,21.1,39.2,3,207.6,64.5,3.7,19.8,64.4,-3
57.8,21.7,41.3,5.1,210.6,67,4,21.1,64.5,-2
55,15.6,37.9,1,215.7,61.2,4.2,21.7,67,-1
50.9,11.4,34.5,-3.4,216.7,53.4,4.8,15.6,61.2,0
45.6,7,29,-6.2,213.3,44.3,5.3,11.4,53.4,1
46.5,11.2,28.5,-5.1,207.1,45.1,5.6,7,44.3,2
48.7,12.3,30.6,-3,202,49.7,6,11.2,45.1,3
51.3,14,33.2,-1.3,199,54.4,6.1,12.3,49.7,4
57.7,17.6,36.8,2.1,197.7,62.7,7.4,14,54.4,5
58.7,17.3,41,2,199.8,65,6.7,17.6,62.7,6
57.5,15.3,38.2,-1.9,201.8,60.9,7.7,17.3,65,7
61.6,19,41.6,1.3,199.9,69.5,7.8,15.3,60.9,8
65,21.1,45,3.3,201.2,75.7,8,19,69.5,9
69.7,23.5,53.3,4.9,204.5,88.4,8.5,21.1,75.7,10
